agent_idx,final_equity,winrate,trades,max_drawdown,sharpe,orders_placed,orders_cancelled
1055,2.230777,0.2767498,1243,0.05638376,3.0905301001905627,1666,423
222,2.2304666,0.2672956,318,0.093428664,1.9785354532736892,368,49
399,2.2303035,0.25727272,1100,0.08270752,2.347294646065376,1703,603
1023,2.2296524,0.35060728,1235,0.053074937,3.622320523231525,1567,332
1209,2.229366,0.25641027,429,0.07423147,2.425336257229761,542,113
2230,2.229051,0.22794117,408,0.107290655,2.0855865587428757,597,189
3397,2.2284405,0.25461254,271,0.069519095,2.1684786702627323,300,28
2986,2.2277675,0.2838428,229,0.047150128,2.506768235058738,263,33
903,2.227713,0.36363637,88,0.02928988,2.763610114141152,101,13
1608,2.226935,0.41474655,434,0.027719168,4.614222326999409,464,30
456,2.2265873,0.25296444,1265,0.1013673,2.243573190463741,2019,753
2263,2.2264128,0.4452555,137,0.029851742,3.6568916810865,150,13
2841,2.2260783,0.43684578,1433,0.059884496,3.510160987120584,1797,364
4032,2.2258632,0.28151262,238,0.025929555,2.792369423644749,253,15
41,2.225483,0.3131313,198,0.051166177,2.968565894806389,210,11
356,2.225265,0.2506964,359,0.048732683,2.527610096415672,387,28
3864,2.2251632,0.25343642,1164,0.07837983,2.3414292348641776,1589,424
1453,2.2251291,0.3224267,1467,0.15140256,2.6040958116361597,2128,660
3219,2.2247725,0.30971992,607,0.05689967,3.315770016201674,689,81
3359,2.2246358,0.351417,1235,0.05241038,3.761071142684522,1544,309
2249,2.224236,0.31272727,275,0.04528931,2.5269870255433005,313,38
4028,2.2233074,0.32618344,1352,0.08833276,2.6913696471562334,1833,480
2435,2.2221718,0.26644737,304,0.058026128,2.197507349318635,352,48
2642,2.2204192,0.25884956,452,0.08955563,2.750628240988196,517,65
954,2.2202375,0.48062593,1342,0.044204984,4.448356515768086,1616,274
1153,2.219819,0.26517856,1120,0.06086396,2.45689289503726,1631,510
925,2.2194898,0.45341614,161,0.055764794,3.2904222618449905,180,19
2766,2.2192633,0.34954408,987,0.04624556,3.242200464097411,1302,315
2987,2.2184901,0.29313233,597,0.037762467,3.7730236524064553,686,89
3175,2.217521,0.41727942,544,0.072555706,3.4093044212267802,676,132
334,2.2173603,0.30530164,547,0.06839621,2.7405630221671737,751,204
3207,2.216632,0.34319526,338,0.02461308,3.7968888304798294,408,70
3163,2.216351,0.27846366,729,0.2086839,2.3820689653279703,1100,371
3647,2.2161298,0.23561645,730,0.047560066,2.9051089889092543,853,123
3499,2.216068,0.2789855,276,0.06039406,2.6448372259234274,323,47
2985,2.2160244,0.33333334,726,0.08887743,2.504798820861396,1027,300
3264,2.215892,0.27058825,425,0.040318497,2.5440350129876133,510,85
77,2.2155418,0.21003963,757,0.08407379,2.2412709992484774,1098,341
2651,2.215174,0.28640777,206,0.049682632,2.6119281032561523,214,8
3179,2.2145553,0.26287264,1107,0.14519335,2.330711732661372,1666,559
1497,2.2142496,0.24110219,871,0.10228972,2.400380071268652,1162,291
3615,2.2141023,0.26049381,810,0.04201528,3.029491982272267,1007,197
1710,2.2135928,0.39252338,107,0.028409408,3.2874658246594377,113,6
2222,2.2128236,0.3227147,722,0.06771238,2.5830764548095737,850,128
1027,2.2124794,0.25720164,486,0.15299587,2.1922721148531745,736,250
2951,2.2118607,0.2738654,639,0.13747886,2.201738172067999,998,359
1741,2.2118049,0.2754717,265,0.050405994,2.4036841733474095,302,37
2385,2.2116678,0.23857868,197,0.07990628,2.2552644400541295,217,19
3785,2.211264,0.25543478,736,0.09500528,2.6435663858773237,857,120
719,2.2109785,0.46753246,231,0.016763616,4.261382679845305,237,6
2153,2.2108114,0.35523614,487,0.050064474,3.5997120338283346,623,136
2676,2.2103305,0.31382978,376,0.059644487,3.038868485304895,456,80
1838,2.209807,0.30952382,882,0.046444356,3.529121326264829,1085,203
216,2.2096086,0.34177214,474,0.032946836,3.5658167280206685,556,82
904,2.2095246,0.27272728,605,0.067335114,2.909396226030331,805,200
936,2.2091572,0.43048897,1043,0.06375426,5.248689903192331,1091,48
3552,2.2086947,0.2546973,479,0.13493074,2.049893083359835,685,205
2756,2.2085304,0.30722892,332,0.067767166,2.680912809132227,358,26
421,2.2083316,0.26984128,1071,0.0834964,2.5041543133134705,1580,509
62,2.2080133,0.30541873,203,0.052249424,2.7047312862400226,216,12
2412,2.2076488,0.4775641,1248,0.05070331,4.664287576962607,1508,260
1472,2.2068207,0.41398603,715,0.03213285,4.22558645459709,877,162
1966,2.2061758,0.27150258,965,0.07800129,2.5091052318652998,1222,257
2212,2.205427,0.3655514,807,0.04223409,3.4497299284827836,1103,296
1099,2.2051091,0.30536914,298,0.089528374,2.612142302632689,362,64
1011,2.2050915,0.27684963,419,0.116649784,2.4146933560314934,541,121
1505,2.2042413,0.22685185,648,0.055376694,2.3422101373240576,806,158
3554,2.204104,0.27559054,508,0.15403187,2.5343264700236894,692,184
2621,2.2035117,0.4379845,258,0.026247667,3.575819217826221,275,17
1002,2.2022555,0.5056818,1056,0.033460733,5.03335557323997,1205,149
1331,2.2021122,0.278481,237,0.10597516,2.224871461555068,300,63
3714,2.201573,0.36414343,1255,0.050297637,3.6622407801895704,1468,213
2336,2.2013845,0.22075783,607,0.101614706,1.9721444617133044,902,294
1614,2.2011576,0.3830645,744,0.035800796,4.205490422753106,940,196
345,2.2011251,0.2949757,617,0.06615607,2.746257838324934,692,75
3600,2.2006547,0.28235295,255,0.05148845,2.625299016577764,307,52
1884,2.2004502,0.24740933,772,0.077834494,2.3510798435141984,996,224
